code,meta-llama/Llama-3.1-8B_max,meta-llama/Llama-3.1-8B_mean,avg
khy_Latn,0.0194,0.0068,0.0194
alz_Latn,0.0291,0.0159,0.0291
snn_Latn,0.0291,0.0076,0.0291
cnw_Latn,0.0388,0.0132,0.0388
mqb_Latn,0.0097,0.0038,0.0097
mur_Latn,0.0194,0.0024,0.0194
obo_Latn,0.0291,0.0079,0.0291
ind_Latn,0.9126,0.5969,0.9126
ory_Orya,0.0777,0.0235,0.0777
mcu_Latn,0.0194,0.0059,0.0194
lip_Latn,0.0291,0.0068,0.0291
xav_Latn,0.0097,0.0015,0.0097
sop_Latn,0.0291,0.0044,0.0291
msk_Latn,0.0485,0.0185,0.0485
dig_Latn,0.0583,0.0274,0.0583
iba_Latn,0.0874,0.0315,0.0874
sur_Latn,0.0388,0.0071,0.0388
ndo_Latn,0.0388,0.0162,0.0388
yao_Latn,0.0291,0.0085,0.0291
kff_Telu,0.0291,0.0024,0.0291
uig_Latn,0.1068,0.0188,0.1068
cuk_Latn,0.0388,0.0091,0.0388
uli_Latn,0.0194,0.0074,0.0194
mop_Latn,0.0291,0.0062,0.0291
leu_Latn,0.0388,0.0088,0.0388
tue_Latn,0.0291,0.0091,0.0291
enx_Latn,0.0291,0.0076,0.0291
pol_Latn,0.7961,0.4798,0.7961
kum_Cyrl,0.1456,0.0388,0.1456
wib_Latn,0.0194,0.0021,0.0194
mmx_Latn,0.0291,0.0097,0.0291
quw_Latn,0.0388,0.0127,0.0388
hye_Latn,0.0097,0.0003,0.0097
trc_Latn,0.0194,0.0044,0.0194
mbj_Latn,0.0194,0.0021,0.0194
