code,Qwen/Qwen3-Embedding-0.6B_max,Qwen/Qwen3-Embedding-0.6B_mean,avg
tcc_Latn,0.0291,0.0104,0.0291
mih_Latn,0.068,0.0171,0.068
mza_Latn,0.0291,0.0084,0.0291
sus_Latn,0.0291,0.007,0.0291
kvj_Latn,0.0097,0.0017,0.0097
enx_Latn,0.0388,0.0144,0.0388
pol_Latn,0.8447,0.4329,0.8447
kum_Cyrl,0.0097,0.0017,0.0097
wib_Latn,0.0291,0.0067,0.0291
mmx_Latn,0.0291,0.0124,0.0291
quw_Latn,0.0485,0.0184,0.0485
hye_Latn,0.0194,0.003,0.0194
trc_Latn,0.0194,0.007,0.0194
mbj_Latn,0.0291,0.0067,0.0291
rad_Latn,0.0194,0.0077,0.0194
bqc_Latn,0.0097,0.0037,0.0097
bbj_Latn,0.0291,0.0117,0.0291
njb_Latn,0.0194,0.0057,0.0194
zas_Latn,0.0388,0.0117,0.0388
mur_Latn,0.0388,0.01,0.0388
obo_Latn,0.0388,0.009,0.0388
ind_Latn,0.835,0.4151,0.835
ory_Orya,0.301,0.0559,0.301
mcu_Latn,0.0194,0.0054,0.0194
lip_Latn,0.0485,0.0124,0.0485
xav_Latn,0.0194,0.0017,0.0194
sop_Latn,0.0097,0.003,0.0097
msk_Latn,0.068,0.0164,0.068
dig_Latn,0.0388,0.0167,0.0388
iba_Latn,0.165,0.0388,0.165
sur_Latn,0.0291,0.0077,0.0291
ndo_Latn,0.068,0.0171,0.068
yao_Latn,0.0291,0.007,0.0291
kff_Telu,0.0097,0.001,0.0097
uig_Latn,0.0485,0.0161,0.0485
cuk_Latn,0.0388,0.0127,0.0388
uli_Latn,0.1068,0.0198,0.1068
mop_Latn,0.0583,0.0187,0.0583
leu_Latn,0.0388,0.0154,0.0388
tue_Latn,0.0388,0.0087,0.0388
