code,script,fertility,fertility_decoder,tokens_per_char,alignment,num_tokenizers
kbr_Latn,Latn,62.255,62.56,0.3922,0.016,4
kck_Latn,Latn,45.13,46.35,0.3835,0.0879,4
kdc_Latn,Latn,46.815,48.34,0.3752,0.0868,4
kde_Latn,Latn,49.33,51.37,0.3741,0.0497,4
kdi_Latn,Latn,50.828,50.725,0.3796,0.0417,4
kdj_Latn,Latn,57.52,58.33,0.4456,0.0314,4
kdl_Latn,Latn,59.72,62.11,0.4604,0.0223,4
kek_Latn,Latn,77.52,77.62,0.4423,0.0331,4
ken_Latn,Latn,87.493,92.865,0.68,0.0183,4
kew_Latn,Latn,57.532,57.885,0.3683,0.02,4
kez_Latn,Latn,88.605,92.53,0.6046,0.0314,4
kff_Telu,Telu,125.748,191.305,1.0116,0.0228,4
kgf_Latn,Latn,70.257,72.965,0.4883,0.0251,4
kgk_Latn,Latn,101.37,99.0,0.464,0.0205,4
kgp_Latn,Latn,99.653,96.375,0.5038,0.0206,4
kha_Latn,Latn,61.443,61.735,0.4003,0.0417,4
khk_Latn,Latn,45.032,45.025,0.3845,0.0234,4
khm_Khmr,Khmr,112.285,181.12,0.888,0.245,4
khs_Latn,Latn,78.36,80.21,0.3909,0.008,4
khy_Latn,Latn,52.462,54.515,0.4435,0.0217,4
khz_Latn,Latn,55.733,57.305,0.3791,0.0308,4
kia_Latn,Latn,49.918,50.725,0.4232,0.052,4
kik_Latn,Latn,71.585,70.29,0.5171,0.0931,4
kin_Latn,Latn,40.335,41.3,0.3874,0.173,4
